Timestamp,X,Y,Z
1735484216916,-0.091,3.757,8.739
1735484216917,-0.220,3.791,8.749
1735484216917,-0.292,3.757,8.593
1735484216918,-0.407,3.680,8.527
1735484216918,-0.493,3.651,8.475
1735484216918,-0.608,3.685,8.403
1735484216919,-0.661,3.637,8.351
1735484216919,-0.665,3.627,8.460
1735484216920,-0.670,3.651,8.493
1735484216920,-0.685,3.647,8.560
1735484216921,-0.637,3.632,8.654
1735484216921,-0.598,3.680,8.730
1735484216921,-0.522,3.699,8.791
1735484216922,-0.398,3.685,8.867
1735484216922,-0.307,3.781,9.000
1735484216923,-0.240,3.796,9.061
1735484216923,-0.144,3.762,9.047
1735484216924,-0.120,3.786,8.995
1735484216928,-0.062,3.762,8.967
1735484216929,0.029,3.699,8.948
1735484216930,0.062,3.656,9.009
1735484216932,0.210,3.651,9.085
1735484216941,0.268,3.670,9.156
1735484216942,0.359,3.680,9.194
1735484216942,0.498,3.757,9.194
1735484216943,0.565,3.762,9.227
1735484216946,0.584,3.810,9.317
1735484216948,0.598,3.829,9.355
1735484216950,0.593,3.839,9.379
1735484216956,0.608,3.786,9.393
1735484216957,0.598,3.757,9.317
1735484216958,0.579,3.728,9.350
1735484216961,0.584,3.656,9.284
1735484216963,0.546,3.627,9.251
1735484216973,0.531,3.642,9.232
1735484216973,0.536,3.613,9.241
1735484216974,0.522,3.608,9.223
1735484216974,0.555,3.651,9.189
1735484216975,0.560,3.632,9.128
1735484216978,0.555,3.642,9.137
1735484216980,0.560,3.661,9.218
1735484216991,0.536,3.675,9.094
1735484216991,0.546,3.685,9.090
1735484216991,0.565,3.699,9.042
1735484216991,0.536,3.718,8.948
1735484216993,0.474,3.632,8.920
1735484216995,0.407,3.589,8.811
1735484216998,0.426,3.560,8.754
1735484217006,0.368,3.541,8.730
1735484217006,0.378,3.503,8.763
1735484217006,0.387,3.527,8.697
1735484217008,0.431,3.469,8.702
1735484217010,0.397,3.479,8.669
1735484217012,0.378,3.555,8.726
1735484217015,0.378,3.551,8.768
1735484217024,0.368,3.546,8.739
1735484217024,0.392,3.541,8.763
1735484217024,0.431,3.541,8.811
1735484217026,0.392,3.532,8.773
1735484217027,0.440,3.503,8.796
1735484217030,0.455,3.517,8.815
1735484217032,0.474,3.503,8.858
1735484217035,0.450,3.493,8.915
1735484217038,0.478,3.479,8.924
1735484217041,0.502,3.493,9.024
1735484217045,0.550,3.536,9.109
1735484217046,0.546,3.536,9.227
1735484217048,0.555,3.555,9.232
1735484217050,0.608,3.666,9.303
1735484217052,0.622,3.699,9.350
1735484217055,0.598,3.714,9.322
1735484217058,0.526,3.709,9.270
1735484217060,0.445,3.694,9.184
1735484217062,0.411,3.632,9.109
1735484217065,0.368,3.565,9.071
1735484217067,0.316,3.493,8.934
1735484217070,0.268,3.436,8.915
1735484217072,0.277,3.455,8.900
1735484217075,0.177,3.488,8.981
1735484217078,0.149,3.508,8.990
1735484217081,0.144,3.474,8.976
1735484217083,0.177,3.474,9.024
1735484217086,0.177,3.508,8.924
1735484217087,0.158,3.508,8.910
1735484217090,0.186,3.517,9.038
1735484217092,0.210,3.508,9.024
1735484217095,0.220,3.479,9.014
1735484217098,0.229,3.493,8.995
1735484217100,0.282,3.484,9.042
1735484217104,0.306,3.508,9.090
1735484217106,0.311,3.532,9.104
1735484217108,0.387,3.498,9.000
1735484217110,0.397,3.512,9.047
1735484217112,0.392,3.541,9.099
1735484217115,0.397,3.541,9.024
1735484217118,0.383,3.522,9.047
1735484217121,0.364,3.488,9.090
1735484217123,0.354,3.441,9.071
1735484217125,0.359,3.479,9.071
1735484217127,0.373,3.464,9.057
1735484217130,0.416,3.445,9.081
1735484217132,0.392,3.441,9.094
1735484217135,0.464,3.498,9.104
1735484217138,0.450,3.546,9.133
1735484217141,0.512,3.546,9.137
1735484217145,0.555,3.608,9.199
1735484217145,0.546,3.680,9.260
1735484217148,0.517,3.709,9.170
1735484217150,0.498,3.675,9.151
1735484217153,0.421,3.627,9.014
1735484217155,0.368,3.618,8.981
1735484217158,0.383,3.579,8.886
1735484217161,0.330,3.565,8.858
1735484217163,0.292,3.450,8.768
1735484217166,0.244,3.493,8.820
1735484217168,0.253,3.579,8.768
1735484217170,0.249,3.570,8.744
1735484217172,0.234,3.527,8.801
1735484217175,0.268,3.618,8.801
1735484217178,0.268,3.651,8.801
1735484217181,0.258,3.623,8.896
1735484217183,0.263,3.651,8.896
1735484217187,0.229,3.632,8.905
1735484217188,0.239,3.680,8.938
1735484217190,0.225,3.661,8.915
1735484217192,0.177,3.694,8.981
1735484217195,0.186,3.714,9.047
1735484217198,0.201,3.694,9.005
1735484217201,0.139,3.709,8.953
1735484217203,0.115,3.733,8.957
1735484217206,0.091,3.733,8.957
1735484217208,0.101,3.704,8.938
1735484217210,0.053,3.718,8.972
1735484217212,0.062,3.680,8.929
1735484217215,0.062,3.651,8.920
1735484217218,0.000,3.675,8.934
1735484217221,0.053,3.699,8.943
1735484217223,0.062,3.738,8.995
1735484217226,0.048,3.728,9.057
1735484217227,0.048,3.699,9.033
1735484217230,0.038,3.757,9.047
1735484217232,0.072,3.753,9.066
1735484217235,0.096,3.772,9.076
1735484217238,0.120,3.738,9.076
1735484217240,0.115,3.757,9.061
1735484217244,0.144,3.820,9.071
1735484217246,0.149,3.781,9.147
1735484217253,0.191,3.776,9.208
1735484217254,0.162,3.815,9.241
1735484217254,0.172,3.853,9.199
1735484217255,0.129,3.805,9.170
1735484217258,0.091,3.757,9.137
1735484217261,0.053,3.772,9.061
1735484217263,0.010,3.680,9.061
1735484217266,0.010,3.623,9.038
1735484217268,-0.010,3.675,8.962
1735484217270,0.010,3.623,8.981
1735484217272,0.000,3.666,8.985
1735484217275,0.019,3.675,8.948
1735484217278,0.062,3.704,8.990
1735484217280,0.067,3.776,9.014
1735484217283,0.091,3.776,8.990
1735484217286,0.172,3.757,9.005
1735484217288,0.186,3.742,9.029
1735484217290,0.191,3.776,9.066
1735484217292,0.191,3.791,9.024
1735484217295,0.181,3.742,8.967
1735484217298,0.153,3.767,8.995
1735484217301,0.201,3.738,9.029
1735484217304,0.210,3.714,9.000
1735484217306,0.215,3.694,8.981
1735484217308,0.234,3.709,9.019
1735484217310,0.234,3.728,9.024
1735484217312,0.268,3.728,8.976
1735484217315,0.277,3.781,9.000
1735484217319,0.292,3.820,9.071
1735484217320,0.225,3.796,9.029
1735484217322,0.186,3.858,8.972
1735484217325,0.191,3.781,8.943
1735484217328,0.110,3.805,8.891
1735484217330,0.086,3.733,8.976
1735484217332,0.086,3.694,8.934
1735484217335,0.024,3.661,8.882
1735484217339,-0.019,3.666,8.891
1735484217340,-0.010,3.623,8.900
1735484217343,0.005,3.613,8.896
1735484217346,0.000,3.647,8.915
1735484217348,0.014,3.675,8.905
1735484217350,0.029,3.694,8.995
1735484217352,0.048,3.714,9.005
1735484217355,0.077,3.738,9.066
1735484217358,0.105,3.680,9.038
1735484217361,0.057,3.627,9.014
1735484217364,0.110,3.608,9.081
1735484217366,0.105,3.642,9.024
1735484217368,0.125,3.608,9.047
1735484217370,0.153,3.594,9.038
1735484217372,0.139,3.618,8.990
1735484217375,0.196,3.599,9.042
1735484217378,0.201,3.536,9.090
1735484217381,0.205,3.551,9.094
1735484217383,0.268,3.603,9.104
1735484217386,0.330,3.603,9.142
1735484217388,0.277,3.632,9.161
1735484217390,0.340,3.670,9.114
1735484217392,0.340,3.675,9.142
1735484217395,0.335,3.632,9.123
1735484217399,0.330,3.637,9.042
1735484217401,0.244,3.627,9.038
1735484217404,0.287,3.594,9.005
1735484217406,0.258,3.599,8.924
1735484217407,0.244,3.541,8.872
1735484217410,0.225,3.546,8.825
1735484217413,0.239,3.579,8.882
1735484217415,0.249,3.570,8.835
1735484217419,0.234,3.575,8.820
1735484217421,0.244,3.603,8.820
1735484217424,0.253,3.579,8.867
1735484217426,0.263,3.656,8.886
1735484217428,0.263,3.637,8.830
1735484217430,0.229,3.627,8.896
1735484217432,0.210,3.603,8.905
1735484217436,0.191,3.627,8.896
1735484217439,0.210,3.623,8.924
1735484217441,0.158,3.637,8.848
1735484217444,0.172,3.637,8.910
1735484217446,0.149,3.632,8.915
1735484217448,0.158,3.637,8.872
1735484217450,0.158,3.647,8.853
1735484217453,0.162,3.680,8.853
1735484217456,0.153,3.704,8.929
1735484217459,0.120,3.680,8.910
1735484217461,0.110,3.651,8.905
1735484217464,0.181,3.666,8.953
1735484217466,0.144,3.670,8.938
1735484217468,0.091,3.675,8.957
1735484217470,0.091,3.675,8.990
1735484217473,0.091,3.637,9.000
1735484217476,0.115,3.651,9.000
1735484217479,0.162,3.699,8.990
1735484217480,0.129,3.714,8.985
1735484217483,0.134,3.738,8.990
1735484217487,0.096,3.753,9.000
1735484217487,0.086,3.805,9.009
1735484217490,0.134,3.810,9.042
1735484217492,0.134,3.848,9.057
1735484217495,0.086,3.858,9.005
1735484217498,0.019,3.824,9.000
1735484217500,0.048,3.824,8.896
1735484217503,0.043,3.800,8.867
1735484217506,0.010,3.800,8.835
1735484217508,-0.014,3.796,8.811
1735484217510,0.048,3.853,8.839
1735484217513,-0.019,3.858,8.844
1735484217516,0.029,3.872,8.867
1735484217519,0.019,3.872,8.867
1735484217521,0.053,3.868,8.938
1735484217524,0.067,3.891,8.962
1735484217526,0.038,3.935,8.920
1735484217528,0.053,3.968,8.972
1735484217530,0.038,3.925,8.990
1735484217533,0.010,3.872,9.024
1735484217536,0.029,3.887,9.019
1735484217539,-0.005,3.887,8.972
1735484217541,-0.019,3.848,8.948
1735484217543,-0.014,3.820,8.972
1735484217546,-0.034,3.853,8.957
1735484217548,-0.038,3.877,8.976
1735484217550,0.024,3.872,8.981
1735484217553,0.034,3.882,9.000
1735484217556,0.038,3.887,8.972
1735484217559,0.029,3.915,8.995
1735484217561,0.072,3.920,9.000
1735484217564,0.043,3.920,9.014
1735484217566,0.053,3.911,8.929
1735484217568,0.115,3.935,8.962
1735484217570,0.096,3.925,8.967
1735484217573,0.105,3.920,8.972
1735484217576,0.110,3.906,8.915
1735484217579,0.067,3.930,8.990
1735484217580,0.091,3.891,8.953
1735484217583,0.125,3.882,8.910
1735484217585,0.129,3.844,8.953
1735484217588,0.144,3.877,8.995
1735484217590,0.096,3.848,9.047
1735484217593,0.115,3.848,9.033
