Timestamp,X,Y,Z
1735572738769,-1.100,4.910,8.249
1735572738769,-1.114,4.977,8.319
1735572738769,-1.134,4.943,8.282
1735572738769,-1.172,4.977,8.230
1735572738769,-1.201,4.967,8.263
1735572738769,-1.196,4.953,8.329
1735572738769,-1.215,4.929,8.319
1735572738773,-1.244,4.938,8.301
1735572738774,-1.301,4.986,8.329
1735572738775,-1.277,4.962,8.376
1735572738778,-1.292,4.986,8.461
1735572738781,-1.306,4.996,8.528
1735572738784,-1.268,5.001,8.575
1735572738785,-1.297,5.001,8.542
1735572738788,-1.311,4.957,8.590
1735572738791,-1.282,4.977,8.533
1735572738794,-1.234,4.972,8.490
1735572738796,-1.220,4.933,8.438
1735572738798,-1.215,4.943,8.461
1735572738800,-1.162,4.881,8.419
1735572738803,-1.124,4.876,8.372
1735572738806,-1.119,4.890,8.353
1735572738809,-1.095,4.814,8.319
1735572738811,-1.110,4.852,8.339
1735572738815,-1.100,4.886,8.400
1735572738815,-1.100,4.833,8.381
1735572738819,-1.114,4.862,8.353
1735572738836,-1.110,4.842,8.339
1735572738836,-1.129,4.847,8.291
1735572738837,-1.095,4.809,8.239
1735572738837,-1.095,4.857,8.178
1735572738837,-1.043,4.828,8.059
1735572738837,-1.023,4.795,8.012
1735572738837,-1.076,4.775,7.907
1735572738841,-1.081,4.732,7.789
1735572738846,-1.043,4.722,7.737
1735572738846,-1.023,4.708,7.728
1735572738847,-1.038,4.713,7.785
1735572738850,-1.014,4.751,7.870
1735572738851,-1.014,4.771,7.875
1735572738854,-0.985,4.742,7.964
1735572738856,-1.076,4.747,7.922
1735572738858,-1.124,4.809,7.894
1735572738865,-1.057,4.775,7.912
1735572738865,-1.124,4.713,7.931
1735572738866,-1.100,4.717,7.936
1735572738871,-1.038,4.751,7.917
1735572738872,-1.028,4.742,7.912
1735572738873,-1.057,4.727,7.964
1735572738876,-1.038,4.703,7.912
1735572738878,-1.014,4.660,7.979
1735572738881,-1.076,4.650,8.003
1735572738883,-1.086,4.655,8.026
1735572738886,-1.114,4.636,8.036
1735572738889,-1.091,4.636,8.031
1735572738891,-1.114,4.636,8.036
1735572738893,-1.071,4.650,8.064
1735572738895,-1.105,4.684,8.093
1735572738898,-1.071,4.689,8.116
1735572738901,-1.129,4.722,8.073
1735572738904,-1.100,4.708,8.097
1735572738905,-1.119,4.732,8.178
1735572738908,-1.148,4.737,8.258
1735572738914,-1.129,4.693,8.310
1735572738914,-1.138,4.703,8.324
1735572738916,-1.191,4.684,8.287
1735572738918,-1.148,4.689,8.249
1735572738921,-1.124,4.708,8.319
1735572738923,-1.158,4.621,8.301
1735572738926,-1.182,4.669,8.296
1735572738929,-1.110,4.713,8.249
1735572738935,-1.182,4.650,8.197
1735572738936,-1.196,4.645,8.234
1735572738936,-1.244,4.655,8.197
1735572738938,-1.268,4.617,8.202
1735572738941,-1.225,4.602,8.163
1735572738943,-1.273,4.679,8.163
1735572738946,-1.277,4.713,8.135
1735572738948,-1.287,4.708,8.130
1735572738951,-1.349,4.814,8.158
1735572738954,-1.297,4.819,8.140
1735572738956,-1.282,4.871,8.140
1735572738959,-1.292,4.862,8.130
1735572738962,-1.244,4.910,8.135
1735572738965,-1.234,4.910,8.116
1735572738966,-1.234,4.933,8.106
1735572738968,-1.244,4.943,8.116
1735572738971,-1.234,4.933,8.140
1735572738980,-1.282,4.929,8.069
1735572738981,-1.287,4.929,8.064
1735572738981,-1.335,4.929,8.121
1735572738982,-1.349,4.895,8.211
1735572738984,-1.359,4.919,8.234
1735572738986,-1.464,4.953,8.206
1735572738988,-1.483,4.962,8.239
1735572738991,-1.540,4.981,8.249
1735572738994,-1.468,5.068,8.192
1735572738996,-1.464,5.107,8.211
1735572738998,-1.464,5.145,8.272
1735572739002,-1.516,5.145,8.319
1735572739004,-1.559,5.116,8.301
1735572739006,-1.655,5.048,8.211
1735572739008,-1.698,5.005,8.197
1735572739011,-1.751,4.991,8.149
1735572739014,-1.809,4.924,8.016
1735572739016,-1.770,4.905,7.912
1735572739018,-1.799,4.938,7.794
1735572739021,-1.746,4.943,7.657
1735572739023,-1.751,4.890,7.586
1735572739025,-1.761,4.914,7.472
1735572739028,-1.794,4.967,7.335
1735572739031,-1.823,4.986,7.387
