Timestamp,X,Y,Z
1735589081213,0.073,-0.428,-0.446
1735589081235,0.038,-0.384,-0.489
1735589081255,-0.198,-0.477,-0.478
1735589081275,-0.483,-0.355,-0.139
1735589081295,-0.449,-0.014,0.108
1735589081317,0.016,0.266,-0.257
1735589081355,0.168,-0.564,0.799
1735589081376,0.210,-0.922,1.095
1735589081415,0.553,0.019,-0.348
1735589081435,0.260,-0.101,-0.264
1735589081474,0.198,0.190,-1.049
1735589081494,-0.173,0.146,-0.022
1735589081517,-0.505,-0.722,1.273
1735589081537,-0.234,-2.914,2.268
1735589081573,-0.349,-1.159,1.516
1735589081594,0.278,-1.490,-0.267
1735589081614,2.711,-0.401,-1.351
1735589081635,3.282,1.613,-1.128
1735589081675,0.894,-0.258,1.005
1735589081695,1.323,-1.853,0.725
1735589081715,1.578,-1.065,-0.501
1735589081735,-0.375,-1.778,-0.532
1735589081775,-0.123,-3.495,-0.145
1735589081814,-1.541,-2.443,-0.238
1735589081838,-2.017,-1.150,0.088
1735589081873,-1.310,-1.677,-0.614
1735589081915,-0.634,-0.864,0.703
1735589081953,2.101,-0.698,-0.461
1735589081974,3.173,-1.489,-1.179
1735589082013,1.967,-0.347,-0.537
1735589082033,0.913,-0.015,-1.409
1735589082053,-0.175,0.133,-1.850
1735589082074,-1.702,1.081,-1.772
1735589082094,-4.865,2.444,2.523
1735589082114,-7.891,5.796,4.997
1735589082134,-8.705,6.236,4.038
1735589082154,-7.960,4.526,4.322
1735589082175,-4.432,3.317,2.492
1735589082214,1.911,-1.118,-1.446
1735589082235,1.220,-1.356,-0.700
1735589082274,-1.348,-0.809,0.708
1735589082294,-1.459,-2.326,-1.126
1735589082335,-1.033,-0.341,-1.566
1735589082355,0.069,-0.640,-2.466
1735589082396,-1.871,-0.764,-0.656
1735589082417,-2.013,-0.953,0.051
1735589082453,2.284,4.725,4.188
1735589082473,3.140,2.714,1.431
1735589082493,2.580,1.314,0.450
1735589082513,2.173,2.159,0.696
1735589082533,1.501,1.771,0.644
1735589082553,-0.033,1.282,1.786
1735589082573,-1.408,3.960,3.319
1735589082593,-2.690,1.641,-0.015
1735589082613,-3.977,-4.108,-2.582
1735589082633,-0.908,-1.165,-1.899
1735589082654,0.946,2.412,0.478
1735589082695,-2.357,-7.231,-2.321
1735589082734,-1.600,-3.220,0.761
1735589082773,-4.973,-2.827,1.849
1735589082794,-3.552,-1.144,1.151
1735589082814,-1.083,-0.011,-0.191
1735589082854,2.226,0.561,-1.871
1735589082893,6.028,2.891,0.542
1735589082913,3.984,1.695,0.991
1735589082935,1.902,2.608,1.931
1735589082955,0.879,2.728,1.984
1735589082993,0.811,0.309,-0.273
1735589083013,0.474,0.344,0.023
1735589083034,0.270,1.234,1.041
1735589083054,0.132,1.230,1.493
1735589083074,0.965,1.193,0.963
1735589083113,-2.073,-1.300,-1.432
1735589083135,-1.597,-1.409,-0.778
1735589083155,-0.191,-0.278,-0.049
1735589083175,0.214,-0.426,-0.317
1735589083216,0.276,-1.101,-0.707
1735589083255,-1.801,-0.545,-0.431
1735589083294,-6.036,-0.810,-0.672
1735589083314,-10.211,-0.121,-0.097
1735589083334,-8.455,1.950,1.305
1735589083373,1.629,0.751,0.198
1735589083395,9.175,0.340,-1.208
1735589083433,10.932,-3.146,-2.217
1735589083453,7.162,1.290,0.788
1735589083475,6.657,3.774,2.448
1735589083513,6.260,5.974,-0.363
1735589083533,0.942,-0.284,-1.622
1735589083555,-8.564,-5.047,-1.194
1735589083576,-7.981,-2.954,-1.276
1735589083596,-3.961,-0.572,-2.450
1735589083635,-0.961,1.689,-2.023
1735589083656,0.973,4.608,-0.371
1735589083696,3.921,7.766,-2.550
1735589083716,4.899,7.180,-2.131
1735589083736,3.678,3.895,-0.049
1735589083757,1.070,-7.425,1.762
1735589083777,2.024,-22.214,0.609
1735589083799,-0.389,-27.336,-0.503
1735589083840,-1.677,-3.183,0.107
1735589083875,1.148,7.220,3.602
1735589083896,2.070,9.052,2.154
