Timestamp,X,Y,Z
1735589335580,0.209,-0.174,0.574
1735589335610,0.203,-0.358,0.766
1735589335649,-0.069,-0.279,-0.241
1735589335864,-0.183,-0.309,-0.335
1735589335889,0.303,-0.348,-0.042
1735589335909,0.290,-0.262,-0.214
1735589335948,0.151,-0.183,-0.374
1735589335969,0.123,-0.143,-0.254
1735589335989,0.120,-0.085,-0.091
1735589336009,0.114,-0.110,-0.051
1735589336029,0.246,-0.120,-0.020
1735589336050,0.266,-0.135,0.047
1735589336089,0.137,-0.261,0.123
1735589336109,0.004,-0.270,-0.011
1735589336129,-0.081,-0.250,-0.015
1735589336149,-0.122,-0.200,0.076
1735589336169,-0.200,-0.162,0.063
1735589336189,-0.266,-0.167,-0.003
1735589336209,-0.243,-0.149,-0.019
1735589336229,-0.289,-0.109,-0.108
1735589336249,-0.287,-0.024,-0.273
1735589336269,-0.146,0.028,-0.180
1735589336310,0.074,-0.025,0.045
1735589336350,0.390,-0.092,0.090
1735589336370,0.528,-0.120,0.083
1735589336394,0.576,-0.171,0.068
1735589336433,0.638,-0.248,-0.261
1735589336473,0.591,-0.099,-0.309
1735589336494,0.598,-0.030,-0.175
1735589336526,0.599,0.088,-0.271
1735589336553,0.549,0.161,-0.495
1735589336592,0.768,0.393,-0.681
1735589336615,0.865,0.413,-0.308
1735589336649,0.935,0.242,0.595
1735589336674,0.934,0.102,0.778
1735589336711,0.748,0.129,0.661
1735589336731,0.460,0.224,0.489
1735589336752,0.268,0.239,0.306
1735589336772,0.319,0.338,0.058
1735589336792,0.367,0.383,-0.080
1735589336829,0.278,0.300,-0.138
1735589336855,0.359,0.265,-0.171
1735589336881,0.384,0.174,-0.208
1735589336909,0.389,0.009,-0.398
1735589336933,0.313,0.052,-0.363
1735589336953,0.105,0.080,-0.370
1735589336992,0.242,0.243,-0.671
1735589337013,0.363,0.275,-0.662
1735589337038,0.327,0.302,-0.664
1735589337064,0.325,0.349,-0.774
1735589337095,0.525,0.574,-0.724
1735589337126,0.603,0.554,-0.513
1735589337171,0.628,0.654,-0.690
1735589337193,0.795,0.908,-0.941
1735589337221,0.867,1.058,-0.856
1735589337254,1.248,1.130,-0.373
1735589337292,1.714,0.897,0.478
1735589337332,2.278,0.593,2.382
1735589337353,2.292,0.352,3.262
1735589337391,1.304,0.213,4.098
1735589337413,0.575,0.178,3.958
1735589337451,-0.704,-0.019,1.726
1735589337475,-1.237,-0.417,0.265
1735589337498,-1.414,-0.953,-0.900
1735589337535,-0.743,-1.884,-1.885
1735589337558,-0.440,-2.276,-1.925
1735589337595,0.029,-2.677,-1.808
1735589337631,-0.054,-2.300,-1.306
1735589337672,0.070,-1.487,-0.812
1735589337710,-0.118,-0.742,-0.206
1735589337730,-0.343,-0.411,-0.051
1735589337752,-0.462,-0.102,-0.255
1735589337790,-0.563,0.110,-0.731
1735589337829,-0.059,0.116,-0.497
1735589337851,0.156,0.068,-0.447
1735589337890,0.419,0.102,-0.218
1735589337910,0.444,0.097,0.078
1735589337931,0.352,0.067,0.305
1735589337971,0.003,0.241,0.157
1735589337991,-0.090,0.382,0.087
1735589338012,-0.199,0.485,0.101
1735589338032,-0.238,0.619,0.097
1735589338053,-0.235,0.817,0.044
1735589338080,-0.238,1.019,0.005
1735589338109,-0.194,1.193,0.192
1735589338136,0.230,1.164,0.967
1735589338162,0.469,1.105,0.924
1735589338193,0.896,0.369,1.188
1735589338213,1.050,-0.020,1.491
1735589338240,0.779,-0.327,1.563
1735589338277,-0.084,-0.561,1.519
1735589338306,-0.204,-0.776,1.457
1735589338332,-0.356,-1.291,0.003
1735589338352,-0.529,-1.465,-0.858
1735589338391,-0.376,-1.705,-1.856
1735589338412,0.003,-1.820,-1.652
1735589338436,0.353,-1.840,-0.949
1735589338472,0.541,-1.769,0.465
1735589338492,0.424,-1.724,1.093
1735589338513,0.601,-1.698,1.176
1735589338533,0.764,-1.493,0.890
1735589338571,0.145,-0.830,0.022
