Timestamp,X,Y,Z
1744759136014,0.000,9.776,0.812
1744759136029,0.000,9.776,0.812
1744759136049,0.000,9.776,0.812
1744759136069,0.000,9.776,0.812
1744759136089,0.000,9.776,0.812
1744759136109,0.000,9.776,0.812
1744759136129,0.000,9.776,0.812
1744759136149,0.000,9.776,0.812
1744759136169,0.000,9.776,0.812
1744759136189,0.000,9.776,0.812
1744759136209,0.000,9.776,0.812
1744759136229,0.000,9.776,0.812
1744759136249,0.000,9.776,0.812
1744759136269,0.000,9.776,0.812
1744759136289,0.000,9.776,0.812
1744759136309,0.000,9.776,0.812
1744759136329,0.000,9.776,0.812
1744759136349,0.000,9.776,0.812
1744759136369,0.000,9.776,0.812
1744759136389,0.000,9.776,0.812
1744759136409,0.000,9.776,0.812
1744759136429,0.000,9.776,0.812
1744759136449,0.000,9.776,0.812
1744759136469,0.000,9.776,0.812
1744759136489,0.000,9.776,0.812
1744759136509,0.000,9.776,0.812
1744759136529,0.000,9.776,0.812
1744759136549,0.000,9.776,0.812
1744759136569,0.000,9.776,0.812
1744759136589,0.000,9.776,0.812
1744759136609,0.000,9.776,0.812
1744759136629,0.000,9.776,0.812
1744759136649,0.000,9.776,0.812
1744759136669,0.000,9.776,0.812
1744759136697,0.000,9.776,0.812
1744759136709,0.000,9.776,0.812
1744759136730,0.000,9.776,0.812
1744759136749,0.000,9.776,0.812
1744759136769,0.000,9.776,0.812
1744759136789,0.000,9.776,0.812
1744759136809,0.000,9.776,0.812
1744759136830,0.000,9.776,0.812
1744759136850,0.000,9.776,0.812
1744759136869,0.000,9.776,0.812
1744759136889,0.000,9.776,0.812
1744759136909,0.000,9.776,0.812
1744759136929,0.000,9.776,0.812
1744759136950,0.000,9.776,0.812
1744759136970,0.000,9.776,0.812
1744759136990,0.000,9.776,0.812
1744759137010,0.000,9.776,0.812
1744759137030,0.000,9.776,0.812
1744759137050,0.000,9.776,0.812
1744759137070,0.000,9.776,0.812
1744759137090,0.000,9.776,0.812
